Date,Target Name,Target Industry Sector,"Target
Nation",Acquiror Name,Acquiror Industry Sector,"Acquiror
Nation","%
of
Shares
Acq.","%
Owned
After
Trans-
action","Value
of
Transaction
($mil)","Acquiror
Ticker
Symbol","Target
Ticker
Symbol","Acquiror
Datastream
Code","Target
Datastream
Code"
14.12.00,Orient Outsourcing Services,Wholesale Trade-Durable Goods,United Kingdom,Lambert Howarth Group PLC,Leather and Leather Products,United Kingdom,100.00,100.0,48.958,LMBT,,911925,
21.02.01,Wates City of London Props PLC,Real Estate; Mortgage Bankers and Brokers,United Kingdom,Pillar Property PLC,"Investment & Commodity Firms,Dealers,Exchanges",United Kingdom,100.00,100.0,522.157,PLL,WLP,136511,900564
26.11.00,Legacy PLC,Real Estate; Mortgage Bankers and Brokers,United Kingdom,Bank of Scotland PLC,"Commercial Banks, Bank Holding Companies",United Kingdom,5.00,5.0,,BSCT,,901442,
27.11.00,Assi AB- Cart Board Business,Paper and Allied Products,Sweden,Anglo American PLC,Mining,United Kingdom,100.00,100.0,,"AAL
AAUK
AGL
AL1",,903076,
27.11.00,Intercom Management GmbH,Business Services,Germany,Cordiant Communications Group,Advertising Services,United Kingdom,80.00,80.0,32.173,"CDA
CRI",,926751,
05.04.01,"Mosquito Coil Producers,ID(5)",Chemicals and Allied Products,Indonesia,Reckitt Benckiser Group PLC,"Soaps, Cosmetics, and Personal-Care Products",United Kingdom,100.00,100.0,72.716,RB,,900484,
27.11.00,Reach Group Ltd,Business Services,United Kingdom,Sigma Technology Group PLC,Construction Firms,United Kingdom,25.00,25.0,.42,SGM,,291564,
27.11.00,Syzygy Solutions Ltd,Prepackaged Software,United Kingdom,Anite Group PLC,Business Services,United Kingdom,100.00,100.0,5.202,AIE,,917534,
27.11.00,Weatherly International PLC,"Investment & Commodity Firms,Dealers,Exchanges",United Kingdom,Voyager IT.com Plc,"Investment & Commodity Firms,Dealers,Exchanges",United Kingdom,13.61,13.6,,VYG.L,WTI.L,273138,295265
21.12.00,Belgo Group PLC,Retail Trade-Eating and Drinking Places,United Kingdom,Belgo Group PLC,Retail Trade-Eating and Drinking Places,United Kingdom,19.81,19.8,8.203,,,905396,905396
21.12.00,First Property Online Ltd,Business Services,United Kingdom,Hansom Group PLC,"Investment & Commodity Firms,Dealers,Exchanges",United Kingdom,100.00,100.0,14.814,HAN,,135171,
18.12.00,Institute of Mgmt Res-Euro Ops,Business Services,France,Proudfoot Consulting PLC,Business Services,United Kingdom,100.00,100.0,30.999,N/A,,926255,
29.11.00,Boomsign Ltd,Amusement and Recreation Services,United Kingdom,Dragons Health Clubs PLC,Amusement and Recreation Services,United Kingdom,100.00,100.0,2.666,DHC,,,
29.11.00,"Dental Care Practice,Robert I",Health Services,United Kingdom,Oasis Healthcare PLC,Health Services,United Kingdom,100.00,100.0,1.058,OSH,,298845,
29.11.00,Metorex Pty Ltd,Mining,South Africa,Crew Gold Corp,Mining,United Kingdom,9.90,50.4,5.132,"CRU
CRU
CRUGF.
KNC","MTX
MTX",283625,51694F
18.12.00,TPK Consulting Ltd,Business Services,United Kingdom,RPS Group PLC,Business Services,United Kingdom,100.00,100.0,4.985,RPS,,953598,
31.12.00,Themis Investment Management,"Investment & Commodity Firms,Dealers,Exchanges",United Kingdom,Aberdeen Asset Management PLC,"Investment & Commodity Firms,Dealers,Exchanges",United Kingdom,100.00,100.0,5.264,ADN,,506391,
30.11.00,Watling Street Inns Ltd,Hotels and Casinos,United Kingdom,Hardys & Hansons PLC,Food and Kindred Products,United Kingdom,100.00,100.0,16.996,HDYS,,906032,
30.11.00,"Ami Transportes, Joao Carlos",Transportation and Shipping (except air),Portugal,Arriva PLC,Transportation and Shipping (except air),United Kingdom,100.00,100.0,,ARI,,914151,
30.11.00,"AFIM Ltd(Artemis,Close Bros)","Investment & Commodity Firms,Dealers,Exchanges",United Kingdom,Close Brothers Group PLC,"Investment & Commodity Firms,Dealers,Exchanges",United Kingdom,50.00,100.0,,CBG,,905313,
29.12.00,Dragons Health Clubs PLC,Amusement and Recreation Services,United Kingdom,Crown Sports PLC,Amusement and Recreation Services,United Kingdom,100.00,100.0,41.022,CSP,DHC,135867,
18.01.01,Motorsport Dealers Intl Ltd,Miscellaneous Retail Trade,United Kingdom,Dixon Motors PLC,Miscellaneous Retail Trade,United Kingdom,100.00,100.0,11.875,DXM,,904970,
30.03.01,Pressdale Ltd,Real Estate; Mortgage Bankers and Brokers,United Kingdom,FairBriar PLC,Real Estate; Mortgage Bankers and Brokers,United Kingdom,64.66,64.7,,FRBR,,904923,
30.11.00,Direct Marketing Group,Business Services,United Kingdom,Kleeneze PLC,Miscellaneous Retail Trade,United Kingdom,100.00,100.0,44.928,KLZ,,953568,
01.12.00,EHW & Co,Miscellaneous Retail Trade,United Kingdom,Communitie.com Ltd,Miscellaneous Retail Trade,United Kingdom,100.00,100.0,1.081,CME.L,,263335,
01.12.00,Meterlink International Ltd,"Measuring, Medical, Photo Equipment; Clocks",United Kingdom,Horstmann Group Ltd,Electronic and Electrical Equipment,United Kingdom,100.00,100.0,,,,,
01.12.00,Orbis Technology Ltd,Prepackaged Software,United Kingdom,NDS Group PLC,Prepackaged Software,United Kingdom,100.00,100.0,79.20,"NNDS
NNDS
NNDS
NNDS
NNDS
NNDS",,28003L,
01.12.00,"Voladis,Ingagel,Figel",Wholesale Trade-Nondurable Goods,France,Brake Brothers PLC,Wholesale Trade-Nondurable Goods,United Kingdom,100.00,100.0,17.15,BKBN,,905824,
29.12.00,BAE Systems-Power & Control,Aerospace and Aircraft,United Kingdom,Cobham PLC,Aerospace and Aircraft,United Kingdom,100.00,100.0,91.781,COB,,904313,
05.01.01,MEDgenesis Inc(Chronimed Inc),Drugs,United States,Medisys PLC,Business Services,United Kingdom,100.00,100.0,39.975,MDY,,904692,
22.12.00,EC Rippon(Breedon PLC),Construction Firms,United Kingdom,Artisan(UK)PLC,Real Estate; Mortgage Bankers and Brokers,United Kingdom,100.00,100.0,14.893,ART,,690387,
04.12.00,EmU Tech,Prepackaged Software,Australia,SurfControl PLC,Prepackaged Software,United Kingdom,100.00,100.0,4.15,SRF,,14736X,
04.12.00,Finespark(Horsham)Ltd,Rubber and Miscellaneous Plastic Products,United Kingdom,Carclo PLC,Wholesale Trade-Nondurable Goods,United Kingdom,100.00,100.0,13.677,CAR,,905952,
20.09.02,Hedef Holding AS,"Investment & Commodity Firms,Dealers,Exchanges",Turkey,Alliance UniChem PLC,Wholesale Trade-Nondurable Goods,United Kingdom,25.00,50.0,116.00,"AUN
AUN",N/A,928889,2611MA
30.03.01,Hedef Holding AS,"Investment & Commodity Firms,Dealers,Exchanges",Turkey,Alliance UniChem PLC,Wholesale Trade-Nondurable Goods,United Kingdom,25.00,25.0,67.639,"AUN
AUN",N/A,928889,2611MA
04.12.00,Lanvision,Prepackaged Software,Australia,SurfControl PLC,Prepackaged Software,United Kingdom,100.00,100.0,1.20,SRF,,14736X,
04.12.00,Total Logistics Company,Transportation and Shipping (except air),New Zealand,Exel PLC,Transportation and Shipping (except air),United Kingdom,100.00,100.0,,EXL,,901373,
01.03.01,ICC Bank PLC,"Commercial Banks, Bank Holding Companies",Ireland-Rep,Bank of Scotland PLC,"Commercial Banks, Bank Holding Companies",United Kingdom,100.00,100.0,308.816,BSCT,,901442,926030
06.12.00,The Cavendish Hotel(London)Ltd,Hotels and Casinos,United Kingdom,De Vere Group PLC,Hotels and Casinos,United Kingdom,100.00,100.0,86.016,DVR,,900248,
06.12.00,Chesterton International PLC,Business Services,United Kingdom,Reliance Security Group PLC,Business Services,United Kingdom,16.13,16.7,7.025,RSG,CTN,904335,135748
07.12.00,Exxon Mobil-Retail Business,Miscellaneous Retail Trade,Portugal,BP Amoco PLC,Oil and Gas; Petroleum Refining,United Kingdom,100.00,100.0,,BP.,,900995,
02.01.01,Fast Track,Amusement and Recreation Services,United Kingdom,Sports Resource Group PLC,Amusement and Recreation Services,United Kingdom,100.00,100.0,24.694,SSR,,264412,
07.12.00,Gentle Dental Care Practice,Health Services,United Kingdom,Oasis Healthcare PLC,Health Services,United Kingdom,100.00,100.0,.254,OSH,,298845,
12.01.01,Hepworth & Whittles Ltd,Food and Kindred Products,United Kingdom,Inter Link Foods PLC,Food and Kindred Products,United Kingdom,100.00,100.0,5.766,ITF,,686655,
02.01.01,ISM Group Ltd,Amusement and Recreation Services,United Kingdom,Sports Resource Group PLC,Amusement and Recreation Services,United Kingdom,100.00,100.0,24.391,SSR,,264412,
07.12.00,Immunobiology Ltd,Drugs,United Kingdom,Oxford Technology 2 VCT PLC,"Investment & Commodity Firms,Dealers,Exchanges",United Kingdom,16.60,16.6,.217,OXH,,963390,
07.12.00,NuCO2 Inc,Chemicals and Allied Products,United States,BOC Group PLC,Chemicals and Allied Products,United Kingdom,15.12,15.1,9.90,"BOC
BOX",NUCO,,867825
07.12.00,Schrier Brothers Inc,Wholesale Trade-Nondurable Goods,United States,Bunzl PLC,Transportation and Shipping (except air),United Kingdom,100.00,100.0,,"BNL
BNZL",,901067,
07.12.00,Shoutloud.com,Business Services,United Kingdom,Virtual Internet PLC,Business Services,United Kingdom,100.00,100.0,,VET,,688875,
02.01.01,Wind Group Holding,Amusement and Recreation Services,Switzerland,Sports Resource Group PLC,Amusement and Recreation Services,United Kingdom,100.00,100.0,38.815,SSR,,264412,
08.12.00,CVSC(China Central TV),Business Services,China,Taylor Nelson Sofres PLC,Business Services,United Kingdom,46.00,46.0,,TNS,,910707,
08.12.00,Falconstate Ltd,Real Estate; Mortgage Bankers and Brokers,United Kingdom,Technology & Internet Ppty,Real Estate; Mortgage Bankers and Brokers,United Kingdom,100.00,100.0,1.445,,,269975,
08.12.00,Scottish Radio Holdings PLC,Radio and Television Broadcasting Stations,United Kingdom,SMG PLC,Radio and Television Broadcasting Stations,United Kingdom,14.84,14.8,,SMG,SRH,902402,991304
09.12.00,Live Information Systems Ltd,Prepackaged Software,United Kingdom,Synthetic Dimensions PLC,Business Services,United Kingdom,25.00,25.0,.363,,,,
11.05.01,Biochem Pharma Inc,Drugs,Canada,Shire Pharmaceuticals Grp PLC,Drugs,United Kingdom,100.00,100.0,",3747.545","SHP
SHPGY
SHQ","BCH
BCHE",870593,514996
11.12.00,Easy Knowledge Ltd(Knowledge),Prepackaged Software,United Kingdom,Knowledge Management Software,Prepackaged Software,United Kingdom,50.00,100.0,.296,KNMA,,295142,
02.01.01,Zellweger Luwa-Fliter Tech Div,Machinery,Switzerland,McLeod Russel Holdings PLC,Real Estate; Mortgage Bankers and Brokers,United Kingdom,100.00,100.0,28.018,MLRL,,926058,
12.12.00,DualSoft LLC,Prepackaged Software,United States,TransEDA PLC,Prepackaged Software,United Kingdom,100.00,100.0,3.60,TRA,,264790,
19.01.01,Energy America(Sempra),"Electric, Gas, and Water Distribution",United States,Centrica PLC,"Electric, Gas, and Water Distribution",United Kingdom,72.50,100.0,56.00,CNA,,888276,
02.01.01,Labor-Info Laufenberg GmbH,Prepackaged Software,Germany,Torex PLC,Business Services,United Kingdom,100.00,100.0,58.399,TOX,,953808,
12.12.00,Plain English Group Ltd,"Printing, Publishing, and Allied Services",United Kingdom,Cube8.com PLC,"Investment & Commodity Firms,Dealers,Exchanges",United Kingdom,13.20,13.2,.688,CUB,,287729,
13.12.00,Khanty Mansiysk Oil Corp,Oil and Gas; Petroleum Refining,United States,Enterprise Oil PLC,Oil and Gas; Petroleum Refining,United Kingdom,11.10,18.6,,ETP,,974355,
13.12.00,Lime Column Markteknik AB,Construction Firms,Sweden,Keller Group PLC,Business Services,United Kingdom,50.00,50.0,1.358,KLR,,135540,
13.12.00,Minages et Travaux Souterrain,Metal and Metal Products,Switzerland,Keller Group PLC,Business Services,United Kingdom,100.00,100.0,.874,KLR,,135540,
13.12.00,Moo-cow Digital Media,Business Services,United Kingdom,Project Telecom PLC,Telecommunications,United Kingdom,100.00,100.0,.727,PJT,,264639,
13.12.00,Premiere Group Holdings Ltd,Business Services,United Kingdom,WPP Group PLC,Advertising Services,United Kingdom,100.00,100.0,,WPPGY,,926119,
26.02.01,Smacsoft Group Ltd,Prepackaged Software,South Africa,AFA Systems PLC,Prepackaged Software,United Kingdom,100.00,100.0,10.224,AFA,SMT,882155,687971
12.01.01,Saville Gordon Estates PLC,Real Estate; Mortgage Bankers and Brokers,United Kingdom,Saville Gordon Estates PLC,Real Estate; Mortgage Bankers and Brokers,United Kingdom,29.70,29.7,77.385,SAVL,SAVL,914040,914040
01.02.01,"GH Mumm et Cie,Perrier-Jouet",Food and Kindred Products,France,Allied Domecq PLC,Food and Kindred Products,United Kingdom,100.00,100.0,505.195,"ALLD
ALLD
ALLD",,900232,
13.12.00,Sterling Associates Ltd,"Investment & Commodity Firms,Dealers,Exchanges",British Virgin,Inter-Alliance Group PLC,"Investment & Commodity Firms,Dealers,Exchanges",United Kingdom,100.00,100.0,4.364,IAL,,671927,
05.02.01,ACT Medisys Ltd(Misys PLC),Business Services,United Kingdom,iSOFT Group PLC,Prepackaged Software,United Kingdom,100.00,100.0,36.365,IOT,,296872,
29.12.00,Argenbright Security Inc,Business Services,United States,Securicor PLC,Business Services,United Kingdom,100.00,100.0,185.00,SCR,,,
12.02.01,Building & Property(Holdings),Business Services,United Kingdom,Tilbury Douglas PLC,Business Services,United Kingdom,100.00,100.0,123.641,IRV,,900346,
14.12.00,Clive Sutton(Racing Green)Ltd,Miscellaneous Retail Trade,United Kingdom,Sytner Group PLC,Miscellaneous Retail Trade,United Kingdom,100.00,100.0,.971,SYT,,671375,
28.02.01,Lindberg Corp,Metal and Metal Products,United States,Bodycote International PLC,Miscellaneous Services,United Kingdom,100.00,100.0,162.427,BOY,LIND,910119,906533
16.01.01,Dollfus Mieg-Indl Thread Bus,Textile and Apparel Products,France,Coats Viyella PLC,Textile and Apparel Products,United Kingdom,100.00,100.0,35.606,CVY,,14736R,
15.12.00,Express Newspapers-Internet,Business Services,United Kingdom,Seymour Pierce Group PLC,"Investment & Commodity Firms,Dealers,Exchanges",United Kingdom,100.00,100.0,,SYP,,679580,
15.12.00,Holliday Group Ltd,Prepackaged Software,New Zealand,iTouch PLC,Telecommunications,United Kingdom,100.00,100.0,11.016,ITU,,298870,
15.12.00,Hyperlink Interactive Ltd,Business Services,United Kingdom,Cable & Wireless PLC,Telecommunications,United Kingdom,100.00,100.0,,CW.,,,
15.12.00,United Nordic Pharma A/S,Wholesale Trade-Nondurable Goods,Denmark,Bioglan Pharma PLC,Drugs,United Kingdom,100.00,100.0,6.781,BGP,,690414,
15.12.00,Essbio SA(Chile),"Electric, Gas, and Water Distribution",Chile,Thames Water PLC,"Electric, Gas, and Water Distribution",United Kingdom,8.90,50.9,53.70,WAT,,686334,292540
16.12.00,Abilio da Costa Moreira SA,Transportation and Shipping (except air),Portugal,Arriva PLC,Transportation and Shipping (except air),United Kingdom,100.00,100.0,,ARI,,914151,
17.01.01,C & K Austria GMBH,Wholesale Trade-Durable Goods,Austria,Deltron Electronics PLC,Electronic and Electrical Equipment,United Kingdom,100.00,100.0,.957,DET,,882267,
18.12.00,Chloride Safety Sys(Chloride),Communications Equipment,United Kingdom,Caradon PLC,"Stone, Clay, Glass, and Concrete Products",United Kingdom,100.00,100.0,16.211,CRN,,901053,
18.12.00,Fit Club Ltd,Business Services,United Kingdom,Gladstone PLC,Business Services,United Kingdom,100.00,100.0,.576,GLD,,892158,
18.12.00,Forma Communications Ltd,Prepackaged Software,United Kingdom,Eleco PLC,Metal and Metal Products,United Kingdom,100.00,100.0,1.151,ELCO,,900515,
18.12.00,"Oak Properties,Trio Ppties",Real Estate; Mortgage Bankers and Brokers,United Kingdom,Eurocity Properties PLC,"Investment & Commodity Firms,Dealers,Exchanges",United Kingdom,100.00,100.0,2.561,,,290688,
18.12.00,Scottish Radio Holdings PLC,Radio and Television Broadcasting Stations,United Kingdom,SMG PLC,Radio and Television Broadcasting Stations,United Kingdom,5.87,20.7,45.537,SMG,SRH,902402,991304
18.05.01,Ugraneft(Sibir Energy PLC),Oil and Gas; Petroleum Refining,Russian Fed,Sibir Energy PLC,Oil and Gas; Petroleum Refining,United Kingdom,21.00,99.3,5.084,SBE,,888732,
05.01.01,Vbest Electronics Ltd,Electronic and Electrical Equipment,Taiwan,Densitron Technologies PLC,Electronic and Electrical Equipment,United Kingdom,22.90,25.4,17.401,DSN,,926691,
19.12.00,Bettagrade Ltd,Hotels and Casinos,United Kingdom,Hurlingham PLC,"Investment & Commodity Firms,Dealers,Exchanges",United Kingdom,20.00,65.0,.818,HRL,,870816,
31.01.01,County Investment Management,"Investment & Commodity Firms,Dealers,Exchanges",Australia,Amvescap PLC,"Investment & Commodity Firms,Dealers,Exchanges",United Kingdom,100.00,100.0,59.95,"AVZ
AVZ",,51245V,
19.12.00,Educational Support Services,Educational Services,United Kingdom,The Capita Group PLC,Business Services,United Kingdom,100.00,100.0,,CPI,,953830,
19.12.00,Europressings Ltd,Wholesale Trade-Durable Goods,United Kingdom,Precoat International PLC,Metal and Metal Products,United Kingdom,100.00,100.0,7.128,PPR,,135212,
30.01.01,Ision Internet AG,Business Services,Germany,Energis PLC,Telecommunications,United Kingdom,73.39,73.4,725.52,"EGS-LS
ENGSY",IOI,25512Q,288746
01.05.01,Ipsaris Ltd(Marconi PLC),Telecommunications,United Kingdom,Railtrack Group PLC,Transportation and Shipping (except air),United Kingdom,15.00,15.0,,RTK,,870956,
19.12.00,Eurofleet Ltd,Transportation and Shipping (except air),United Kingdom,Inchcape PLC,Miscellaneous Retail Trade,United Kingdom,49.00,49.0,18.127,INCH,,901029,
19.12.00,Radio Waves Inc,Communications Equipment,United States,Smiths Group PLC,Electronic and Electrical Equipment,United Kingdom,100.00,100.0,25.20,"SMIN
SMIN
SMIN
SMIN
SMIN
SMIN",,900943,
19.12.00,Secure Data Services,Transportation and Shipping (except air),United Kingdom,TDG PLC,Transportation and Shipping (except air),United Kingdom,100.00,100.0,7.074,TDGL,,676564,
01.10.01,Solvay SA-US HDPE Operations,Chemicals and Allied Products,United States,BP Amoco PLC,Oil and Gas; Petroleum Refining,United Kingdom,49.00,49.0,,BP.,,900995,
01.10.01,Solvay-Polypropylene Business,Chemicals and Allied Products,Belgium,BP Amoco PLC,Oil and Gas; Petroleum Refining,United Kingdom,100.00,100.0,71.336,BP.,,900995,
20.12.00,Brighton & Hove Local Radio,Radio and Television Broadcasting Stations,United Kingdom,Forever Broadcasting PLC,Radio and Television Broadcasting Stations,United Kingdom,100.00,100.0,6.588,FOB,,298987,
20.12.00,Spitalfields Development Group,Real Estate; Mortgage Bankers and Brokers,United Kingdom,Hammerson PLC,"Investment & Commodity Firms,Dealers,Exchanges",United Kingdom,66.67,66.7,26.617,"131964
HMSO",,901596,
20.12.00,Hertz Group,Transportation and Shipping (except air),Canada,FirstGroup PLC,Transportation and Shipping (except air),United Kingdom,100.00,100.0,18.235,FGP,,135229,
12.01.01,I-Spire Corp Ltd,"Investment & Commodity Firms,Dealers,Exchanges",Bermuda,Glenchewton PLC(Wilton Group),Wholesale Trade-Durable Goods,United Kingdom,100.00,100.0,110.459,CDEB,,,910234
12.04.01,Japan Telecom Co Ltd,Telecommunications,Japan,Vodafone Group PLC,Telecommunications,United Kingdom,15.00,15.0,",2210.903","V1OD34
VOD
VOD
VOD","9434
9434",953133,140420
20.12.00,Quality Assurance Assoc,Business Services,United Kingdom,Serco Group PLC,Business Services,United Kingdom,100.00,100.0,3.771,"SCGPY
SRP",,943663,
21.12.00,All4U Ltd,Business Services,United Kingdom,Trinity Mirror PLC,"Printing, Publishing, and Allied Services",United Kingdom,26.00,26.0,,TNI,,901102,
21.12.00,All4U Ltd,Business Services,United Kingdom,Netcall PLC,Business Services,United Kingdom,13.00,13.0,.427,NET,,888086,
23.02.01,Astra-IDL Limited,Drugs,India,AstraZeneca PLC,Drugs,United Kingdom,25.75,51.5,18.438,"AZN
AZN
AZN",,319608,
21.12.00,Brown & Newirth Ltd,Miscellaneous Manufacturing,United Kingdom,Abbeycrest PLC,Miscellaneous Manufacturing,United Kingdom,100.00,100.0,6.979,ABCL,,926348,
13.06.01,Eircell Ltd,Telecommunications,Ireland-Rep,Vodafone Group PLC,Telecommunications,United Kingdom,100.00,100.0,",4154.611","V1OD34
VOD
VOD
VOD",,953133,
21.12.00,Hyder PLC-Industrial Services,"Electric, Gas, and Water Distribution",United Kingdom,United Utilities PLC,"Electric, Gas, and Water Distribution",United Kingdom,100.00,100.0,110.903,"UU.
UU.U",,904367,
21.12.00,London & Henley,Real Estate; Mortgage Bankers and Brokers,United Kingdom,The British Land Co PLC,"Investment & Commodity Firms,Dealers,Exchanges",United Kingdom,50.00,50.0,26.503,BLND,,901587,
08.03.01,Rye House Power Station,"Electric, Gas, and Water Distribution",United Kingdom,Scottish Power PLC,"Electric, Gas, and Water Distribution",United Kingdom,100.00,100.0,323.928,"SPI
SPW",,928741,
25.01.01,Slush Puppie Corp,Food and Kindred Products,United States,Cadbury Schweppes PLC,Food and Kindred Products,United Kingdom,100.00,100.0,16.60,"CRBY
CSG",,900286,
31.05.01,Sperrylite Resources(Pty)Ltd,Mining,South Africa,Cluff Mining PLC,Mining,United Kingdom,80.00,100.0,1.34,CLU,,291656,
03.04.01,Sperrylite Resources(Pty)Ltd,Mining,South Africa,Cluff Mining PLC,Mining,United Kingdom,20.00,20.0,1.34,CLU,,291656,
18.04.01,Telit Mobile Terminals SpA,Communications Equipment,Italy,Marconi PLC,Communications Equipment,United Kingdom,19.90,19.9,33.984,MONI,,296107,
18.04.01,Telit Networks SpA,Communications Equipment,Italy,Marconi PLC,Communications Equipment,United Kingdom,100.00,100.0,16.415,MONI,,296107,
28.02.01,Tottenham Hotspur,Amusement and Recreation Services,United Kingdom,ENIC PLC,"Investment & Commodity Firms,Dealers,Exchanges",United Kingdom,26.90,29.9,32.361,ENID,TTNM,960820,15445N
28.03.01,Astound Inc,Telecommunications,Canada,Genesis Malaysia Maju Fund,"Investment & Commodity Firms,Dealers,Exchanges",United Kingdom,100.00,100.0,23.024,GSMPF,,,
22.12.00,Au Bon Pain,Retail Trade-Food Stores,United States,Granada Compass PLC,Business Services,United Kingdom,100.00,100.0,,GCP,,931524,
22.12.00,DTZ Belux Group,Real Estate; Mortgage Bankers and Brokers,Belgium,DTZ Holdings PLC,Real Estate; Mortgage Bankers and Brokers,United Kingdom,69.66,100.0,12.363,DTZ,,953576,
31.01.01,Hanson Waste Management,Sanitary Services,United Kingdom,Waste Recycling Group PLC,Sanitary Services,United Kingdom,100.00,100.0,273.837,WRC,,135508,
02.03.01,Homebase Group Ltd,Miscellaneous Retail Trade,United Kingdom,J Sainsbury PLC,Retail Trade-Food Stores,United Kingdom,18.00,18.0,45.644,SBRY,,926002,
22.12.00,MRS Software Ltd,Prepackaged Software,United Kingdom,Alphameric Solutions Ltd,Prepackaged Software,United Kingdom,100.00,100.0,2.164,ALM,,,
20.03.01,Vinson Supply Co Inc,Wholesale Trade-Durable Goods,United States,Hunting PLC,"Electric, Gas, and Water Distribution",United Kingdom,100.00,100.0,38.00,HTG,,917509,
26.12.00,Catalina Lighting Inc,Electronic and Electrical Equipment,United States,Acquisitor PLC,Motion Picture Production and Distribution,United Kingdom,5.72,5.7,.879,ACQ,LTG,282560,772113
27.12.00,Accessory People Ltd,Wholesale Trade-Durable Goods,United Kingdom,Legendary Investments PLC,"Investment & Commodity Firms,Dealers,Exchanges",United Kingdom,10.00,10.0,.674,LEG,,288000,
27.12.00,Fortress Participations BV,Real Estate; Mortgage Bankers and Brokers,Netherlands,Probus Estates PLC,Real Estate; Mortgage Bankers and Brokers,United Kingdom,100.00,100.0,26.888,PBE,,953823,
05.01.01,MicroArts Corp,Advertising Services,United States,Cordiant Communications Group,Advertising Services,United Kingdom,100.00,100.0,88.10,"CDA
CRI",,926751,
27.12.00,Telcen(Gensys SA),Telecommunications,Australia,Genesis Malaysia Maju Fund,"Investment & Commodity Firms,Dealers,Exchanges",United Kingdom,100.00,100.0,,GSMPF,,,
28.12.00,MarketWatch.com Inc,Business Services,United States,Pearson PLC,"Printing, Publishing, and Allied Services",United Kingdom,34.40,34.4,26.90,"PSO
PSO3
PSON",MKTW,914021,694321
29.12.00,Drake Asset Management Ltd,"Investment & Commodity Firms,Dealers,Exchanges",United Kingdom,Seymour Pierce Group PLC,"Investment & Commodity Firms,Dealers,Exchanges",United Kingdom,100.00,100.0,2.508,SYP,,679580,
31.12.00,Daytron Systems Inc-Transco,Communications Equipment,United States,Cobham PLC,Aerospace and Aircraft,United Kingdom,100.00,100.0,3.90,COB,,904313,
31.12.00,EiRx Therapeutics Ltd,Business Services,Ireland-Rep,World Life Sciences PLC,"Investment & Commodity Firms,Dealers,Exchanges",United Kingdom,22.62,22.6,,WLS.L,,289499,
31.12.00,Rapidinsure.co.uk Ltd,Insurance,United Kingdom,Berkeley Morgan Group PLC,"Investment & Commodity Firms,Dealers,Exchanges",United Kingdom,100.00,100.0,,BMG,,25507E,
01.01.01,Lex Service PLC-Powered Access,Business Services,United Kingdom,Lavendon Group PLC,Business Services,United Kingdom,100.00,100.0,5.861,LVD,,882289,
02.01.01,Adventures Inc Advertising,Business Services,United States,4imprint Group PLC,"Printing, Publishing, and Allied Services",United Kingdom,100.00,100.0,12.75,FOUR,,901095,
02.01.01,Quinoderm Ltd,Drugs,United Kingdom,Medical Solutions PLC,Business Services,United Kingdom,100.00,100.0,5.592,MLS,,914270,
01.02.01,Hexal AG-Dermatology Prods,Drugs,Germany,Bioglan Pharma PLC,Drugs,United Kingdom,100.00,100.0,24.026,BGP,,690414,
03.01.01,Isis MedNet Ltd(Health Media),"Printing, Publishing, and Allied Services",United Kingdom,Taylor & Francis Group PLC,"Printing, Publishing, and Allied Services",United Kingdom,100.00,100.0,1.061,TFG,,940283,
04.02.01,Mortons Media Ltd-Titles(4),"Printing, Publishing, and Allied Services",United Kingdom,Johnston Press PLC,"Printing, Publishing, and Allied Services",United Kingdom,100.00,100.0,,JPR,,943610,
03.01.01,14000 & One Solutions Ltd,Educational Services,United Kingdom,WYG PLC,Business Services,United Kingdom,100.00,100.0,.211,WHY,,926384,
03.01.01,Paxdata Networks Ltd,Communications Equipment,United Kingdom,DataFlex Holdings PLC,Telecommunications,United Kingdom,100.00,100.0,4.593,DFX.L,,287731,
29.01.01,Marketing Sciences Ltd,Business Services,United Kingdom,Creston PLC,Business Services,United Kingdom,100.00,100.0,24.199,CRE,,910729,
04.01.01,Microrescue Systems Ltd,Prepackaged Software,United Kingdom,Innovation Group PLC,Business Services,United Kingdom,74.00,100.0,1.444,TIG,,290355,
04.01.01,Shanghai Dongxin Biotechnology,Drugs,China,GeneMedix PLC,Drugs,United Kingdom,75.00,75.0,,"GENM
GMX",,289769,
29.01.01,Synergie Consulting Ltd,Business Services,United Kingdom,Creston PLC,Business Services,United Kingdom,100.00,100.0,.351,CRE,,910729,
04.04.01,Grupo Iusacell SA de CV,Telecommunications,Mexico,Vodafone Group PLC,Telecommunications,United Kingdom,34.50,34.5,973.40,"V1OD34
VOD
VOD
VOD","CEL
CEL",953133,50936Q
06.02.01,BAE Systems PLC-Civil Systems,Prepackaged Software,United Kingdom,Screen PLC,Business Services,United Kingdom,100.00,100.0,1.562,SEN,,888468,
08.01.01,Breathe.com Ltd,Business Services,United Kingdom,Great Universal Stores PLC,Miscellaneous Retail Trade,United Kingdom,100.00,100.0,2.096,N/A,,777573,
12.03.01,Pyramid Acquisition Corp,Prepackaged Software,United States,Innovation Group PLC,Business Services,United Kingdom,100.00,100.0,21.40,TIG,,290355,
20.02.01,NetObjects Inc-Enterprise Div,Prepackaged Software,United States,Merant PLC,Prepackaged Software,United Kingdom,100.00,100.0,18.00,"MRN
MRNT",,901936,
